epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,12103.8,0.65649,0.64412,1.08318,0.73123,0.47736,0.53184,0.43987,1.00469,1.59041,1.33725,0.000354988,0.000354988,0.000354988
161,12178.5,0.65086,0.63935,1.07402,0.69011,0.49295,0.5276,0.43574,1.01356,1.59355,1.35627,0.000346736,0.000346736,0.000346736
162,12253.3,0.65185,0.63919,1.08198,0.7419,0.48596,0.53259,0.44256,1.01973,1.58923,1.35653,0.000338484,0.000338484,0.000338484
163,12327.9,0.6552,0.63555,1.07581,0.77309,0.47578,0.53431,0.44759,0.99662,1.57616,1.32599,0.000330233,0.000330233,0.000330233
164,12402.7,0.64683,0.62441,1.07154,0.76145,0.46946,0.52451,0.43978,1.02596,1.6348,1.36395,0.000321981,0.000321981,0.000321981
165,12477.6,0.6446,0.63088,1.06987,0.72058,0.47834,0.52557,0.4394,0.9966,1.61878,1.3371,0.000313729,0.000313729,0.000313729
166,12552.3,0.64599,0.60931,1.07165,0.74643,0.45917,0.51863,0.43295,1.03288,1.62795,1.35636,0.000305478,0.000305478,0.000305478
167,12627,0.62876,0.60445,1.06222,0.78598,0.45288,0.51984,0.43704,1.02421,1.64503,1.35595,0.000297226,0.000297226,0.000297226
168,12701.7,0.64117,0.60135,1.07081,0.74289,0.49763,0.53658,0.4491,1.01554,1.58187,1.36149,0.000288974,0.000288974,0.000288974
169,12776.5,0.63896,0.61349,1.06453,0.78522,0.47,0.52966,0.44469,1.02547,1.63853,1.35047,0.000280723,0.000280723,0.000280723
170,12851.1,0.64341,0.6236,1.07658,0.72426,0.47411,0.52887,0.44142,1.00416,1.63037,1.33038,0.000272471,0.000272471,0.000272471
171,12925.9,0.64113,0.61487,1.06754,0.73946,0.46474,0.52886,0.43931,1.00978,1.61527,1.33233,0.00026422,0.00026422,0.00026422
172,13000.8,0.62901,0.60139,1.0676,0.78802,0.46315,0.52513,0.44077,1.01339,1.61954,1.34761,0.000255968,0.000255968,0.000255968
173,13075.3,0.62961,0.59808,1.0605,0.74578,0.48572,0.53403,0.44213,1.01021,1.59372,1.34834,0.000247716,0.000247716,0.000247716
174,13150,0.6204,0.58471,1.05464,0.77657,0.4663,0.52698,0.44159,1.02424,1.65172,1.35916,0.000239465,0.000239465,0.000239465
175,13224.7,0.62879,0.58988,1.06407,0.80123,0.4485,0.52248,0.44113,1.00406,1.62984,1.3408,0.000231213,0.000231213,0.000231213
176,13299,0.61804,0.58356,1.05171,0.73222,0.48043,0.5214,0.43995,0.99178,1.64596,1.3334,0.000222961,0.000222961,0.000222961
177,13373.3,0.62938,0.59397,1.06069,0.81683,0.45016,0.52667,0.43749,1.01335,1.66418,1.36523,0.00021471,0.00021471,0.00021471
